"","V85","V86","V87","V88","V89","V227","V211","V214","V248","V191","V242","V240","V141","C_COW_ALPHA","V84","V103","V29","V28","V25","V30","V32","V34","V35","V116","V115","V227.1","V229","V191.1","V248.1","V118","V115.1","V105"
"80906",3,3,1,3,3,1,2,1,9,2,61,2,4,"UKR",3,2,0,0,0,0,0,0,0,4,4,1,4,2,9,3,4,3
"80907",3,3,3,3,3,1,3,2,5,1,70,2,3,"UKR",4,2,0,0,0,0,0,0,0,4,3,1,4,1,5,2,3,3
"80908",3,3,3,3,3,1,1,1,5,4,60,2,3,"UKR",3,2,0,0,0,0,0,0,0,3,3,1,4,4,5,2,3,4
"80909",3,3,3,3,3,2,1,1,5,1,61,2,2,"UKR",3,3,0,0,0,0,0,0,0,2,2,2,4,1,5,2,2,4
"80910",3,3,3,3,3,1,3,2,9,2,77,2,2,"UKR",3,1,0,0,0,0,0,0,0,3,3,1,4,2,9,2,3,3
"80911",3,3,3,3,3,1,3,2,7,NA,69,2,2,"UKR",3,2,0,0,0,0,0,0,0,4,2,1,4,NA,7,2,2,3
"80912",3,3,3,3,3,1,1,1,2,NA,75,2,1,"UKR",2,2,0,0,0,0,0,0,0,3,3,1,4,NA,2,3,3,2
"80913",2,3,1,3,3,1,2,2,7,2,75,2,6,"UKR",1,1,0,0,2,0,0,0,0,3,2,1,4,2,7,1,2,3
"80914",3,3,1,3,3,1,1,1,9,1,77,2,5,"UKR",2,2,0,0,0,0,0,0,0,3,4,1,4,1,9,2,4,2
"80915",2,2,1,2,2,1,3,1,9,4,61,2,6,"UKR",3,2,0,0,0,0,0,0,0,3,3,1,2,4,9,2,3,3
"80916",1,3,1,3,3,1,1,1,5,1,85,2,6,"UKR",2,2,0,0,2,0,0,0,0,2,4,1,4,1,5,2,4,3
"80917",3,3,3,3,3,1,3,2,9,4,71,2,2,"UKR",4,4,0,0,0,0,0,0,0,4,4,1,4,4,9,4,4,3
"80918",3,3,3,3,3,1,2,1,7,3,74,2,5,"UKR",4,3,0,0,0,0,0,0,0,3,3,1,4,3,7,3,3,3
"80919",2,3,1,3,3,2,2,2,5,2,61,2,9,"UKR",2,1,0,1,1,0,0,0,0,2,2,2,4,2,5,2,2,3
"80920",3,3,3,3,3,1,1,1,7,3,73,2,7,"UKR",1,1,0,0,1,0,0,0,0,4,4,1,4,3,7,1,4,3
"80921",3,3,3,3,3,1,2,2,2,2,71,2,5,"UKR",1,2,0,0,1,0,0,0,0,2,2,1,4,2,2,2,2,3
"80922",3,3,3,3,3,1,2,1,5,1,82,2,4,"UKR",3,2,0,0,0,0,0,0,0,2,2,1,4,1,5,2,2,2
"80923",3,3,3,3,3,1,3,1,8,1,65,2,1,"UKR",3,3,0,0,0,0,0,0,0,3,3,1,4,1,8,3,3,3
"80924",3,3,3,3,3,1,5,4,9,1,70,2,1,"UKR",3,4,0,0,0,0,0,0,0,3,3,1,4,1,9,2,3,4
"80925",2,3,2,2,2,2,4,2,7,3,70,2,5,"UKR",3,2,0,0,1,0,0,0,0,2,2,2,4,3,7,3,2,2
"80926",3,3,3,3,3,1,1,1,7,3,62,2,3,"UKR",4,2,0,1,0,0,0,0,0,3,3,1,2,3,7,2,3,3
"80927",3,3,3,3,3,1,2,1,5,1,78,2,4,"UKR",2,2,0,0,0,0,0,0,0,4,4,1,4,1,5,4,4,4
"80928",3,3,3,3,3,1,2,1,2,1,78,2,3,"UKR",1,3,0,0,0,0,0,0,0,3,3,1,4,1,2,3,3,4
"80929",3,3,3,3,3,1,2,1,2,2,75,2,3,"UKR",3,2,0,0,1,0,0,0,0,3,3,1,4,2,2,3,3,4
"80930",3,3,3,3,3,3,1,1,2,4,73,2,5,"UKR",4,2,0,0,0,0,0,0,0,3,3,3,4,4,2,2,3,3
"80931",3,3,3,3,3,1,1,1,7,1,66,2,7,"UKR",3,2,0,1,0,0,0,0,0,3,3,1,4,1,7,3,3,3
